Item Name,Quantity,Link,Price of component(SAR,Price Of Component (USD,
Foam Board,4 sheets,https://www.amazon.sa/-/en/Polystyrene-Backing-Mounting-Presentations-Projects/dp/B0G5LV74HK/ref=sr_1_19?crid=1LSC1A0MQKUSW&dib=eyJ2IjoiMSJ9.xU15P8GfmKOpZcEAisk-0-HFYGkdKu-DkajR3luAPo0Q-vMDoao9-CmDJSt5tjNnl2ijejz-GcjP128umFe5OkTVVK2X-f1ftaEd6FoUpuJQllYhucIS2s-3EJJ4A0QjKVtT8SdaeEfB5uJbRpn69BawCf0r7EyYd3MYBg_ouJZztHQmdEcL8LsNICz17f0Xu7U4zSd0EtODvry2nXN05egJ_zhoi0HgaNtkGCij3Cp2APcSMzcqybpCZY_KyujeKn6l5BOpSkvf2yObVE7Stdy6pmcshgET-5B2qAalP-0.6qr-GJBHGSU9lhHhDnanX2cPYclr9RTqeCmq4fG1_iE&dib_tag=se&keywords=craft+foamboard&qid=1786187665&sprefix=craft+foamboar%2Caps%2C301&sr=8-19,140,37.8,
Skewer,100 Pc,https://www.amazon.sa/-/en/Hotpack-Bamboo-Skewer-Inch-Pieces/dp/B07P3X8R4V/ref=sr_1_6?crid=8OY4P1OYSAGQ&dib=eyJ2IjoiMSJ9.YUZtY2l1fU4s_mbmUrG90kyawvzKcxRr-nckXQ-EITUZyMS16aQlMyhDPIp0KxQjEcHRWKn2oGnWbnN6QoKx8n2kGGcbJbMK3FR9u_LcEKY1Jq8N5BTlUyOUjiHNknfSpq-gNQNkWLM55rTYZBiwrBJb1IRaLBaHYPSrtYDSzpmEp8oabIzfLeuILLhrzcWBFEL7TlifqnDXQQ0yMnLSR3mbyntbggwLon8pBC2YW6UeJdS71gaVCOLPAi6xlv81uPH2stgRB07FSLQbXEdEUN45eOb3xzHOYS084dGe-9Q.MV5fWIDsSYz9AkF9AxfXqvzDAvk94uAG7VCqq62AAF8&dib_tag=se&keywords=skewers&qid=1786187822&sprefix=skewe%2Caps%2C245&sr=8-6,4.5,1.215,
Steel Pushrods,10,https://www.amazon.sa/-/en/%CE%A61-2mm-L180mm-Steel-Airplane-Replacement/dp/B01EG48XBI/ref=sr_1_18?crid=2XA0GPA9QLF88&dib=eyJ2IjoiMSJ9.XYNAYEkeJv25st82lBg31ZJR2t_Ro390x3OitKvR85r3Eb2zSaOD0BzW2So9e3OvRluLG7800U9_97MqV0hEre66boQOlNirDxFfmquLnA0Dr5lNNWNV2H4_Gzg8EOhfgFtPD10ho11rgZgDpUUs_pYWb52SyN4s6dSZaRA_2cb5vUNj5bPtVW1KDDmzQrVGflyh9tJo-ubBdafIDKYeI8LZMDkiIx2rkyOMpYzSEQpppowu1zp095-s23Ef74XAPrEQm__clWDjOvV4P6IGE6eU5t8w8ob4llExfB8wIPs.luJmICQyBQwqL5jraDCTT9at4bXU8OHE7gtLLnjX6Tw&dib_tag=se&keywords=1-meter+Steel+Pushrod+Wire&qid=1786187923&sprefix=1-meter+steel+pushrod+wire%2Caps%2C281&sr=8-18,98,26.46,
Control Horns/Clevises,20 pc,https://www.amazon.sa/-/en/Generic-Control-Reusable-Airplane-Aircraft/dp/B0G3RSXHBB/ref=sr_1_5?crid=3RMXFC3FR4ETD&dib=eyJ2IjoiMSJ9.MVp8IdiqPgYkMJkGQjIT76PgUpfdB0NEsA_0ERl8qHNXjFrMw8lKrOVPP-pAWeFpsHuHWrhKsBAqIWNzv5IZHO1hZzJP9qV5ANo1NNvI02y1dGNQO6TcXIsycqMdh542aH6VlVjjR8KX6EUHIJ8S3KMZsTQc-5yscSHMK_w6hl7t9UHr0pVYpF7vJl08VjKE6rY3IpnlcM_z-mOXcyb4cZupgT76NANASN-NWp0bq_QaTXDdzJcSaCcn3--oahFbHGUzRJeQfCf_GBr8S9pXu6faCI3jUMDsbDqvmNKWnQU.xutMq-fPpCZft2Se7FICMEIDUUTjdX61pPfYTAJ_mXM&dib_tag=se&keywords=control+horns+and+clevises&qid=1786188036&sprefix=control+horns+and+clevises%2Caps%2C480&sr=8-5,57,15.39,
Motor Pack with ESCs,2 of them! like 2 instances not 2 motors,https://www.amazon.sa/dp/B0F212RWS1/ref=sspa_dk_hqp_detail_aax_0?aref=JaVSY2Dmgy&sp_csd=d2lkZ2V0TmFtZT1zcF9ocXBfc2hhcmVk&th=1,126,34.02,
Controller/Reciever Pack,1,https://www.amazon.sa/-/en/Transmitter-Receiver-Controller-Helicopter-Construction/dp/B0BSBVSVQC/ref=pd_bxgy_thbs_d_sccl_1/262-4111366-3443254?pd_rd_w=Lp7mN&content-id=amzn1.sym.7d0cc4fc-d30d-4787-a139-27780e690a6a&pf_rd_p=7d0cc4fc-d30d-4787-a139-27780e690a6a&pf_rd_r=E00TDPC9NXSAVTGR4MVT&pd_rd_wg=yqSjs&pd_rd_r=5c9a813e-e6bb-4cbe-b387-8f916033d176&pd_rd_i=B0B1MLXNY7&th=1,361,97.47,MAKE SURE TO SELECT THE i6X+iA10B OPTION OR ELSE I WONT HAVE ENOUGH CHANNELS!!
Servos,10 servos (buy from link,https://www.amazon.sa/-/en/Miuzei-Servo-Arduino-Project-Airplane/dp/B072V529YD/ref=sr_1_2?crid=3IJ35ZCAWEE57&dib=eyJ2IjoiMSJ9.M1B99AEOjF57Co4VVGsgFpb3hHCp8cE4upn0c1zsTthzWP6Rmi_fvGBDKueZcs4y-YBiK41o5WURpi-6Uy2KPvAJ-j8Gcg5xhImleuK0jUWHYRZReOUtfKkjhl9lGljicx82l-7hqdoJXq5ctDb5nmXMd095T0tai18mvFXiF5--HLeFR4Xh1G20LeCvHdcn7rishWLCqZ7dnbyTpNQ6kQ889Q_iXGwbiJXT25SbFHQSTlpWuCR_0KtBYaDeuOrkjEDbb3wPRiHy9-COJOET2ngm7NbsIF-1WpwRiRtinxY.wEpq_yP_HoUmxSUebZ3BQ8opSnuk23wbKk41aoB-3N8&dib_tag=se&keywords=10+pack+servos&qid=1786188874&sprefix=10+pack+servi%2Caps%2C450&sr=8-2,75,20.25,
Battery,2,https://www.amazon.sa/-/en/Zeee-Vehicles-Airplane-Quadcopter-Helicopter/dp/B0FDGK1NZQ/ref=sr_1_1?crid=1LW8GD9XV73AY&dib=eyJ2IjoiMSJ9.W-F9ixrz6FxnrBT2-nB_B4ZNJ1iDD7OSi8mpqZhLXanC0heu7CQ3SyKgtDbpfCTKOliOgRHPjGbs1pQN4JNZBIqc4fRM_b14Dt_WJveHwxlXhZl875GGPjaB7e1tV14dwZ4sx9X2hk1RweXMV-8FZLGD1RCN8jq2XF7zU5IBZYCczRWjPjomKk09y7mFhMbEF9YHaUHhgIN1MslsZgaV4QraiXs8zobiQgLWbwdutkx1PhVgILT2L8ErM2NsWHfRcq4vkovVI0fYYhseadGr0M9Oa7Ns_uC-RpIQhI1eimU.AQY2EdoPvAuwwchGla-tbVUQCQ9rukfFAFPfpO3SgRg&dib_tag=se&keywords=goldblatt+3s+2200mah+lipo+battery&qid=1786189150&sprefix=goldblat+3s+2200mah+lipo+batte%2Caps%2C219&sr=8-1,269,72.63,
Battery Charger,1,https://www.amazon.sa/-/en/Alsaffan-Multi-Chemistry-Power-Replenisher-Display/dp/B0DJQHJFYY/ref=pd_bxgy_d_sccl_1/262-4111366-3443254?pd_rd_w=LaErk&content-id=amzn1.sym.7d0cc4fc-d30d-4787-a139-27780e690a6a&pf_rd_p=7d0cc4fc-d30d-4787-a139-27780e690a6a&pf_rd_r=TD24KJVN1Q6WHPFA97JH&pd_rd_wg=2j0U3&pd_rd_r=5568bd4d-974e-4a8e-9619-e3000c337143&pd_rd_i=B0DJQHJFYY&psc=1,112,30.24,
Landing gear Base,3,https://www.amazon.sa/Retractable-Simulation-Compatible-Hobbyists-Enthusiasts/dp/B0FT8XHT58/ref=sr_1_1_sspa?crid=3O25NJP3KJUAW&dib=eyJ2IjoiMSJ9.u5glaq4YCfPZVkzO_1u_L0JB8SmFuTBNkrlLJu2i2EmZGz9P46yVmhIoodMnqLrUohRrQLg9DNz_idIe77dDJrx9W95jdCL8QEDwRm_ErgYosrJogp9OAekCrLTwFoCVdVyxJNSTar4NP_99bw9dap51aasm1XEcruDvbNKMHrD3OIwpOXwA5k5IcEyqTEVfn17xmOIK6JoXMoFDZS023C6YOOlvkAXp98Sj2FzdBhytom5dlbtjEOl-PL6Bdwng4l4AgiHzdB2I0B8VYsv4plGEzE38BpDNPn-nvWoteOo.CU-5GtZZu9CJTCXuTwso6Lk4lRlRP4iTphNZ4Wzmkkg&dib_tag=se&keywords=retractable+landing+gear&qid=1786195796&sprefix=retractable+landing+gea%2Caps%2C269&sr=8-1-spons&aref=BhYK5YJiUO&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,57,15.39,
